doc_id,perfil_objetivo,sector_grupo,titulo,url,cnae,beneficiarios,nivel1,ambito,importe,deadline,abierto,prediccion_tool,relevante,notas
1128467,negocio,comercio,"CONVOCATORIA PARA LAS AYUDAS CON DESTINO A MINIMIZAR EL IMPACTO ECONÓMICO POR LA CRISIS ENERGÉTICA PARA PYMES, MICROPYMES, AUTÓNOMOS Y PROFESIONALES CON DOMICILIO FISCAL EN CALP, ANUALIDAD 2026",https://calp.sedelectronica.es/info.0,"COMERCIO AL POR MAYOR Y AL POR MENOR | SUMINISTRO DE ENERGIA ELECTRICA, GAS, VAPOR Y AIRE ACONDICIONADO",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,300000.0,2026-09-07,False,sí,,
1128435,negocio,comercio,AYUDAS A LA CONFECCIÓN DE CATÁLOGOS IMPRESOS I CATÁLOGOS ELECTRÓNICOS DE PRODUCTOS Y OTRAS HERRAMIENTAS DE COMERCIALIZACIÓN Y MARKETING - CONVOCATORIA 2026,https://ontinyent.sedipualba.es/,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | INDUSTRIA MANUFACTURERA | OTROS SERVICIOS",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,40000.0,2026-10-08,False,sí,,
1128427,negocio,comercio,AYUDAS A LA PARTICIPACIÓN EN FERIAS Y MISIONES COMERCIALES . CONVOCATORIA 2026,https://ontinyent.sedipualba.es/,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | INDUSTRIA MANUFACTURERA",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,40000.0,2026-10-08,False,sí,,
1128397,negocio,comercio,NUEVA CONVOCATORIA DE SUBVENCIONES PARA LA REALIZACIÓN DE CAMPAÑAS DE PROMOCIÓN Y ANIMACIÓN COMERCIAL DE LA CONCEJALÍA DE COMERCIO DEL EXCMO.AYUNTAMIENTO DE ORIHUELA - AÑO 2026.,,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | OTROS SERVICIOS",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,50000.0,2026-09-07,False,no,,
1128361,negocio,comercio,Campaña Bono Consumo - Bono Consumo Sella- Anualidad 2026,,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | OTROS SERVICIOS",PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,31886.0,2026-11-30,False,no,,
1128310,negocio,comercio,Bases Programa Tarjeta Bono Consumo Pedreguer 2026,,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TRANSPORTE Y ALMACENAMIENTO",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,167610.0,2026-09-10,False,sí,,
1128307,negocio,comercio,"Bases reguladoras y convocatoria de la Campaña ""Bono-Consumo El Castell de Guadalest 2026""",,"ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO | Comercio al por menor | HOSTELERÍA",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,18082.0,2026-09-11,False,sí,,
1127688,negocio,comercio,BASES REGULADORAS Y CONVOCATORIA PARA LA CAMPAÑA BONO CONSUMO SAN FULGENCIO 2026,https://sanfulgencio.sedelectronica.es,"ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO | ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS | ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES | AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TELECOMUNICACIONES, PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA, INFRAESTRUCTURA INFORMÁTICA Y OTROS SERVICIOS DE INFORMACIÓN",PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,180783.0,2026-11-05,False,sí,,
1127450,negocio,comercio,"BASES REGULADORAS Y CONVOCATORIA DE LA CAMPAÑA DE FOMENTO DEL CONSUMO EN EL COMERCIO LOCAL DE PARCENT,
MEDIANTE LA EMISIÓN DE BONOS DE COMERCIO, anualidad 2026",https://parcent.sedipualba.es/,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,39545.0,2026-10-16,False,sí,,
1126892,negocio,comercio,ANUNCIO APROBACIÓN CONVOCATORIA PEMIOS USO DEL VALENCIANO EN EL COMERCIO LOCAL 2026,,COMERCIO AL POR MAYOR Y AL POR MENOR,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,5650.0,2026-09-30,False,sí,,
1126872,negocio,comercio,CONVOCATORIA BONO-CONSUMO ANUALIDAD 2026,,Comercio al por menor | Reparación y mantenimiento de vehículos de motor y motocicletas | Servicios de comidas y bebidas,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,182930.0,2026-12-13,False,no,,
1126712,negocio,comercio,Convocatoria de BONOS COMERCIO 2026 para la activación del consumo en el comercio local.,,COMERCIO AL POR MAYOR Y AL POR MENOR | OTROS SERVICIOS,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,150000.0,2026-10-18,False,no,,
1126673,negocio,comercio,Acuerdo de la Junta de Gobierno Local de fecha 4 de agosto de 2026 por el que se aprueban las Bases Reguladoras de las Ayudas Municipales a Empresas por Contratación de Desempleados. Anualidad 2026.,https://aspe.es/sede-electronica/,"Agricultura, ganadería, caza y servicios relacionados con las mismas | COMERCIO AL POR MAYOR Y AL POR MENOR | CONSTRUCCIÓN | HOSTELERÍA | INDUSTRIA MANUFACTURERA",GRAN EMPRESA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,15000.0,2026-09-30,False,sí,,
1126664,negocio,comercio,BONO CONSUMO SANET Y NEGRALS 2026,https://sanetynegrals.sedelectronica.es/info.4,COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,33562.0,2026-10-31,False,sí,,
1126657,negocio,comercio,"Acuerdo de la Junta de Gobierno Local de 28 de julio de 2026, por el que se aprueba las Bases Reguladoras de las Subvenciones de Fomento de Empleo dirigido a Emprendedores. Anualidad 2026.",https://aspe.es/sede-electronica/,"ACTIVIDADES FINANCIERAS Y DE SEGUROS | ACTIVIDADES INMOBILIARIAS | ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS | Agricultura, ganadería, caza y servicios relacionados con las mismas | COMERCIO AL POR MAYOR Y AL POR MENOR | CONSTRUCCIÓN | HOSTELERÍA | INDUSTRIA MANUFACTURERA",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,55000.0,2026-09-30,False,sí,,
1126383,negocio,hosteleria,Subvenciones en régimen de concurrencia para asociaciones de restauradores destinadas a actuaciones de fomento del turismo gastronómico 2026,,HOSTELERÍA,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES522 - Castellón / Castelló,15000.0,2026-08-28,False,no,,
1126333,negocio,hosteleria,"Resolución de Alcaldía núm. 1496, de 10 de agosto de 2026, por la que se aprueba la convocatoria de ayudas municipales a la promoción económica en el municipio de Alginet.",https://alginet.sede.dival.es/,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,20000.0,2026-09-30,False,sí,,
1125632,negocio,hosteleria,"BASES REGULADORAS Y CONVOCATORIA DE LA CAMPAÑA DE FOMENTO DEL CONSUMO EN EL COMERCIO LOCAL DE XALÓ, MEDIANTE
LA EMISIÓN DE BONOS DE COMERCIO, anualidad 2026",https://xalo.sedelectronica.es/info.0,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TRANSPORTE Y ALMACENAMIENTO",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES521 - Alicante / Alacant,81474.0,,False,sí,,
1128435,negocio,hosteleria,AYUDAS A LA CONFECCIÓN DE CATÁLOGOS IMPRESOS I CATÁLOGOS ELECTRÓNICOS DE PRODUCTOS Y OTRAS HERRAMIENTAS DE COMERCIALIZACIÓN Y MARKETING - CONVOCATORIA 2026,https://ontinyent.sedipualba.es/,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | INDUSTRIA MANUFACTURERA | OTROS SERVICIOS",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,40000.0,2026-10-08,False,sí,,
1128427,negocio,hosteleria,AYUDAS A LA PARTICIPACIÓN EN FERIAS Y MISIONES COMERCIALES . CONVOCATORIA 2026,https://ontinyent.sedipualba.es/,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | INDUSTRIA MANUFACTURERA",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,40000.0,2026-10-08,False,sí,,
1128310,negocio,hosteleria,Bases Programa Tarjeta Bono Consumo Pedreguer 2026,,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TRANSPORTE Y ALMACENAMIENTO",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,167610.0,2026-09-10,False,sí,,
1128307,negocio,hosteleria,"Bases reguladoras y convocatoria de la Campaña ""Bono-Consumo El Castell de Guadalest 2026""",,"ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO | Comercio al por menor | HOSTELERÍA",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,18082.0,2026-09-11,False,sí,,
1127688,negocio,hosteleria,BASES REGULADORAS Y CONVOCATORIA PARA LA CAMPAÑA BONO CONSUMO SAN FULGENCIO 2026,https://sanfulgencio.sedelectronica.es,"ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO | ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS | ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES | AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TELECOMUNICACIONES, PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA, INFRAESTRUCTURA INFORMÁTICA Y OTROS SERVICIOS DE INFORMACIÓN",PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,180783.0,2026-11-05,False,sí,,
1127450,negocio,hosteleria,"BASES REGULADORAS Y CONVOCATORIA DE LA CAMPAÑA DE FOMENTO DEL CONSUMO EN EL COMERCIO LOCAL DE PARCENT,
MEDIANTE LA EMISIÓN DE BONOS DE COMERCIO, anualidad 2026",https://parcent.sedipualba.es/,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,39545.0,2026-10-16,False,sí,,
1126673,negocio,hosteleria,Acuerdo de la Junta de Gobierno Local de fecha 4 de agosto de 2026 por el que se aprueban las Bases Reguladoras de las Ayudas Municipales a Empresas por Contratación de Desempleados. Anualidad 2026.,https://aspe.es/sede-electronica/,"Agricultura, ganadería, caza y servicios relacionados con las mismas | COMERCIO AL POR MAYOR Y AL POR MENOR | CONSTRUCCIÓN | HOSTELERÍA | INDUSTRIA MANUFACTURERA",GRAN EMPRESA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,15000.0,2026-09-30,False,sí,,
1126664,negocio,hosteleria,BONO CONSUMO SANET Y NEGRALS 2026,https://sanetynegrals.sedelectronica.es/info.4,COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,33562.0,2026-10-31,False,sí,,
1126657,negocio,hosteleria,"Acuerdo de la Junta de Gobierno Local de 28 de julio de 2026, por el que se aprueba las Bases Reguladoras de las Subvenciones de Fomento de Empleo dirigido a Emprendedores. Anualidad 2026.",https://aspe.es/sede-electronica/,"ACTIVIDADES FINANCIERAS Y DE SEGUROS | ACTIVIDADES INMOBILIARIAS | ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS | Agricultura, ganadería, caza y servicios relacionados con las mismas | COMERCIO AL POR MAYOR Y AL POR MENOR | CONSTRUCCIÓN | HOSTELERÍA | INDUSTRIA MANUFACTURERA",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,55000.0,2026-09-30,False,sí,,
1126530,particular,sanitario_social,Ayudas municipales para población altamente vulnerable y en extrema situación de exclusión social de Aldaia,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,48668.5,2026-11-15,False,sí,,
1126417,particular,sanitario_social,"CONVENIO DE ACUERDO DE LA JGL DEL 02/07/2026 CONCESIÓN DE SUBVENCIÓN NOMINATIVA CON LA ASOCIACIÓN SALUT MENTAL CASTELLÓ(AFDEM) PARA LA EJECUCIÓN DEL PROYECTO “ATENCIÓN SOCIAL A PERSONAS CON ENFERMEDAD MENTAL."" AÑO 2026",,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES522 - Castellón / Castelló,16500.0,2026-12-31,False,sí,,
1126335,particular,sanitario_social,Ayudas municipales para población altamente vulnerable y en extrema situación de exclusión social de Aldaia,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,48669.5,2026-11-15,False,sí,,
1126333,particular,sanitario_social,"Resolución de Alcaldía núm. 1496, de 10 de agosto de 2026, por la que se aprueba la convocatoria de ayudas municipales a la promoción económica en el municipio de Alginet.",https://alginet.sede.dival.es/,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,20000.0,2026-09-30,False,no,,
1126329,particular,sanitario_social,SUBVENCIONES NOMINATIVAS A FESTIVALES DEL TERRITORIO: Festival Nómade 2026,https://www.sede.dival.es/,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,140000.0,2026-12-31,False,no,,
1126220,particular,sanitario_social,CONCESIÓN SUBVENCIÓN NOMINATIVA A LA  MUY ILUSTRE VENERABLE Y SACRAMENTAL MAYORDOMÍA SANTÍSIMO CORPUS CHRISTI 2026,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES521 - Alicante / Alacant,3250.0,,False,sí,,
1126156,particular,sanitario_social,SUBVENCIÓN NOMINATIVA ASOCIACIÓN HOGAR JUBILADOS Y PENSIONISTAS DEL BARRIO DEL CRISTO AÑO 2026,https://barriodelcristo.sedelectronica.es,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,810.0,2026-11-02,False,sí,,
1126138,particular,sanitario_social,ALTERNATIVA RESIDENCIAS GENTE MAYOR,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES522 - Castellón / Castelló,16500.0,,False,sí,,
1125898,particular,sanitario_social,SUBVENCION NOMINATIVA FONS PER LA SOLIDARITAT 2026,https://massanassa.sedelectronica.es/info.0,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,1000.0,2026-06-30,False,sí,,
1125879,particular,sanitario_social,CONVENIO DE ACUERDO DE LA JGL DEL 02/07/2026 CONCESIÓN DE SUBVENCIÓN NOMINATIVA CON CÁRITAS DIOCESANA DE SEGORBE-CASTELLÓN PARA LA EJECUCIÓN DEL PROYECTO “ATENCIÓN Y ACOMPAÑAMIENTO A PERSONAS EN SITUACIÓN DE SIN HOGAR. AÑO 2026,,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES522 - Castellón / Castelló,630000.0,2026-12-31,False,sí,,
1125872,particular,sanitario_social,"Subvención nominativa 2025 Cáritas Parroquial, Parroquia San Pedro Apóstol de Massanassa",https://massanassa.sedelectronica.es/info.0,Actividades de servicios sociales sin alojamiento | Educación,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,4353.66,2025-11-30,False,sí,,
1125814,particular,sanitario_social,"Convocatoria SARC_Festivales, muestras y certámenes 2026 ",https://www.sede.dival.es/,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,260000.0,2026-08-25,False,sí,,
1125781,particular,sanitario_social,"Subvenciones para excursiones socioculturales de Asociaciones y Entidades federativa de personas jubiladas y pensionistas, mujeres y Amas de Casa de la provincia de Castellón. Ejercicio 2026",,Otras actividades de servicios sociales sin alojamiento,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES522 - Castellón / Castelló,70000.0,2026-09-11,False,sí,,
1125777,particular,sanitario_social,Convenio cátedra l'Alcora Universitat Jaume I,,Otras actividades de servicios sociales sin alojamiento,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES522 - Castellón / Castelló,25000.0,2026-09-30,False,sí,,
